0, 6, 5, 4, 7, 2, 1, 0, 3
1, 7, 4, 5, 6, 1, 2, 3, 0
2, 3, 6, 4, 0, 2, 7, 1, 5
3, 4, 6, 5, 7, 0, 2, 1, 3
4, 1, 0, 3, 2, 5, 4, 7, 6
5, 7, 2, 1, 6, 5, 4, 3, 0
6, 4, 5, 6, 7, 0, 1, 2, 3
7, 6, 5, 7, 4, 3, 1, 0, 2
8, 4, 5, 3, 2, 0, 1, 7, 6
9, 7, 2, 1, 4, 3, 6, 5, 0
10, 6, 3, 7, 1, 5, 4, 0, 2
11, 3, 7, 4, 0, 2, 6, 5, 1
12, 1, 0, 5, 4, 3, 2, 7, 6
13, 3, 4, 6, 0, 1, 7, 2, 5
14, 2, 7, 0, 6, 5, 4, 3, 1
15, 1, 0, 5, 6, 7, 2, 3, 4
16, 1, 0, 6, 5, 7, 3, 2, 4
17, 7, 3, 6, 1, 5, 4, 2, 0
18, 6, 7, 5, 4, 3, 2, 0, 1
19, 6, 2, 1, 4, 3, 7, 0, 5
20, 6, 7, 4, 5, 2, 3, 0, 1
21, 6, 4, 5, 7, 1, 2, 0, 3
22, 2, 5, 0, 4, 3, 1, 7, 6
23, 7, 5, 6, 4, 3, 1, 2, 0
24, 4, 5, 7, 6, 0, 1, 3, 2
25, 5, 3, 7, 1, 6, 0, 4, 2
26, 5, 4, 7, 6, 1, 0, 3, 2
27, 7, 6, 5, 4, 3, 2, 1, 0
28, 6, 7, 3, 2, 5, 4, 0, 1
29, 2, 6, 0, 7, 5, 4, 1, 3
30, 4, 7, 6, 5, 0, 3, 2, 1
31, 6, 3, 4, 1, 2, 7, 0, 5
32, 5, 7, 6, 4, 3, 0, 2, 1
33, 5, 4, 3, 2, 1, 0, 7, 6
34, 3, 6, 5, 0, 7, 2, 1, 4
